CLIENTNUM,Customer_Age,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender_Label,Churn_Label,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
715550508,45,3,Unknown,Married,Unknown,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,0,0,1.0,0.0,0.0,0.0
711887583,47,2,Unknown,Married,$80K - $120K,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,1,1,1.0,0.0,0.0,0.0
714778833,49,3,Graduate,Single,Unknown,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,0,0,1.0,0.0,0.0,0.0
713843283,41,3,Unknown,Married,Unknown,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,0,0,0.0,0.0,0.0,1.0
713572683,44,3,High School,Unknown,$60K - $80K,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,1,0,1.0,0.0,0.0,0.0
808284783,62,1,Unknown,Married,Less than $40K,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,0,0,1.0,0.0,0.0,0.0
708476808,54,4,Unknown,Single,$120K +,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,1,0,1.0,0.0,0.0,0.0
708492558,42,3,Unknown,Married,$60K - $80K,36,5,3,3,15088.0,865,14223.0,0.939,1107,21,1.625,0.057,1,0,1.0,0.0,0.0,0.0
826762908,52,3,High School,Unknown,$80K - $120K,48,3,2,0,11976.0,1273,10703.0,1.024,2089,36,1.118,0.106,1,0,1.0,0.0,0.0,0.0
710806083,50,1,Uneducated,Unknown,Less than $40K,36,4,2,2,11888.0,2090,9798.0,0.7,1137,30,0.765,0.176,0,0,0.0,0.0,0.0,1.0
822063408,43,4,Unknown,Married,$40K - $60K,39,5,1,2,6111.0,2517,3594.0,0.632,1221,16,2.2,0.412,1,0,1.0,0.0,0.0,0.0
711112683,63,1,Graduate,Married,Unknown,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,0,0,1.0,0.0,0.0,0.0
789968058,51,1,Unknown,Single,$120K +,42,6,2,3,9036.0,2327,6709.0,0.649,1131,18,0.636,0.258,1,0,1.0,0.0,0.0,0.0
772288758,47,4,Graduate,Married,Unknown,36,4,1,3,5349.0,1228,4121.0,0.728,1343,30,1.308,0.23,0,0,1.0,0.0,0.0,0.0
712720158,68,1,Graduate,Married,Unknown,56,5,2,3,13860.0,1652,12208.0,1.255,1910,32,1.909,0.119,1,0,1.0,0.0,0.0,0.0
713786508,42,5,Unknown,Married,$40K - $60K,36,3,3,3,2038.0,0,2038.0,0.786,1238,28,0.75,0.0,0,0,1.0,0.0,0.0,0.0
718759833,44,2,Uneducated,Married,Unknown,35,4,3,2,32643.0,0,32643.0,1.3,1058,24,2.429,0.0,0,0,0.0,0.0,0.0,1.0
714133158,59,1,Graduate,Single,Unknown,36,2,3,3,4224.0,1305,2919.0,0.852,1152,31,0.824,0.309,0,0,1.0,0.0,0.0,0.0
714791208,47,4,Unknown,Single,Less than $40K,41,6,5,3,3482.0,2114,1368.0,0.508,1039,24,0.263,0.607,0,0,1.0,0.0,0.0,0.0
716493408,45,4,Uneducated,Single,Unknown,36,4,3,3,15875.0,1719,14156.0,0.86,1592,37,1.467,0.108,0,0,1.0,0.0,0.0,0.0
708953883,53,2,Unknown,Married,$80K - $120K,36,2,2,1,3212.0,0,3212.0,0.713,757,20,0.25,0.0,1,1,1.0,0.0,0.0,0.0
721148358,49,3,Uneducated,Single,Unknown,38,6,2,1,12860.0,0,12860.0,0.646,1348,27,0.286,0.0,0,0,1.0,0.0,0.0,0.0
779956608,41,2,Post-Graduate,Married,Unknown,31,6,1,3,20758.0,0,20758.0,0.688,1555,32,0.684,0.0,0,0,1.0,0.0,0.0,0.0
717912483,43,4,Graduate,Unknown,$80K - $120K,27,5,2,0,27259.0,0,27259.0,0.731,1376,35,0.591,0.0,1,0,1.0,0.0,0.0,0.0
715872333,41,0,High School,Unknown,$120K +,36,3,2,3,18214.0,1998,16216.0,0.829,1344,21,1.1,0.11,1,0,1.0,0.0,0.0,0.0
720707283,48,4,Unknown,Married,$80K - $120K,36,5,3,0,5288.0,866,4422.0,0.869,1777,42,0.75,0.164,1,0,1.0,0.0,0.0,0.0
710565408,59,0,Unknown,Unknown,$80K - $120K,40,3,2,3,34516.0,1359,33157.0,1.327,1033,26,1.364,0.039,1,0,0.0,0.0,0.0,1.0
770746908,44,4,Unknown,Married,$60K - $80K,30,5,1,2,7872.0,2509,5363.0,0.971,1155,32,0.882,0.319,1,0,1.0,0.0,0.0,0.0
758076408,50,2,Unknown,Single,$40K - $60K,43,2,1,3,1857.0,1603,254.0,0.579,1590,43,1.263,0.863,1,0,1.0,0.0,0.0,0.0
708711483,57,2,Unknown,Married,$80K - $120K,46,2,3,0,18871.0,1740,17131.0,1.727,1516,21,2.0,0.092,1,0,1.0,0.0,0.0,0.0
787541883,44,3,Graduate,Unknown,$80K - $120K,33,3,3,3,34516.0,0,34516.0,0.483,1120,27,0.35,0.0,1,0,1.0,0.0,0.0,0.0
789830058,44,4,Unknown,Single,$80K - $120K,34,4,1,2,21573.0,1585,19988.0,0.621,1384,36,2.273,0.073,1,0,1.0,0.0,0.0,0.0
710299608,53,2,Unknown,Married,Less than $40K,33,2,3,3,2859.0,2517,342.0,0.993,817,30,0.667,0.88,0,1,1.0,0.0,0.0,0.0
713779908,46,3,Doctorate,Single,Unknown,36,6,3,2,2189.0,1666,523.0,0.343,1287,36,0.636,0.761,0,0,1.0,0.0,0.0,0.0
719731458,56,3,Unknown,Unknown,$40K - $60K,46,6,3,4,2910.0,709,2201.0,0.538,1192,27,0.588,0.244,1,0,1.0,0.0,0.0,0.0
715432608,43,4,Unknown,Single,$60K - $80K,36,4,1,0,22322.0,953,21369.0,0.769,1348,34,1.125,0.043,1,0,1.0,0.0,0.0,0.0
788950158,36,2,Graduate,Unknown,$80K - $120K,22,2,2,3,34516.0,1652,32864.0,0.854,1283,39,1.294,0.048,1,0,1.0,0.0,0.0,0.0
710620383,43,4,Unknown,Married,$60K - $80K,35,6,3,2,24396.0,1171,23225.0,0.655,965,17,1.125,0.048,1,0,1.0,0.0,0.0,0.0
778661358,46,1,Unknown,Married,Less than $40K,36,2,3,2,2474.0,2143,331.0,1.53,1541,40,1.0,0.866,0,0,1.0,0.0,0.0,0.0
718464258,51,3,Unknown,Unknown,Less than $40K,25,2,2,2,9512.0,1082,8430.0,0.701,1007,22,1.444,0.114,0,0,1.0,0.0,0.0,0.0
708528483,43,4,Graduate,Single,Unknown,23,6,3,2,3187.0,2430,757.0,0.617,1387,33,1.357,0.762,0,0,1.0,0.0,0.0,0.0
807226683,48,3,Unknown,Single,$40K - $60K,43,6,1,3,5279.0,1115,4164.0,0.549,1642,41,0.519,0.211,1,0,1.0,0.0,0.0,0.0
719117433,41,4,High School,Unknown,$80K - $120K,36,4,3,0,23018.0,2168,20850.0,0.859,1463,24,1.667,0.094,1,0,1.0,0.0,0.0,0.0
718621608,54,2,High School,Married,Unknown,44,3,3,1,6094.0,0,6094.0,1.129,909,14,0.273,0.0,0,1,1.0,0.0,0.0,0.0
709173108,54,4,Graduate,Married,Unknown,40,6,2,2,2532.0,2221,311.0,0.491,799,21,0.235,0.877,0,1,1.0,0.0,0.0,0.0
709879458,54,3,Doctorate,Married,Unknown,46,2,2,3,1900.0,1376,524.0,0.89,1881,45,0.607,0.724,0,0,1.0,0.0,0.0,0.0
770632758,50,4,Doctorate,Single,Unknown,36,2,3,2,2521.0,1608,913.0,0.587,1328,33,0.571,0.638,0,0,1.0,0.0,0.0,0.0
771742533,48,2,Graduate,Unknown,$40K - $60K,36,5,1,2,13068.0,1718,11350.0,0.607,937,28,0.556,0.131,1,0,1.0,0.0,0.0,0.0
789562383,38,1,High School,Unknown,Less than $40K,30,2,3,0,1438.3,583,855.3,0.888,1259,24,1.0,0.405,0,0,1.0,0.0,0.0,0.0
710572458,36,3,High School,Married,Unknown,24,4,1,1,15439.0,0,15439.0,0.742,2069,43,0.536,0.0,0,0,1.0,0.0,0.0,0.0
714426783,38,2,Graduate,Single,Unknown,31,2,3,2,14041.0,2154,11887.0,1.084,1467,29,1.417,0.153,0,0,1.0,0.0,0.0,0.0
709494483,63,0,Unknown,Married,Less than $40K,54,4,2,1,2420.0,1912,508.0,1.256,1730,36,0.565,0.79,0,0,1.0,0.0,0.0,0.0
709346133,55,2,Uneducated,Married,Unknown,35,3,3,0,3025.0,2376,649.0,1.252,1277,23,1.875,0.785,0,0,1.0,0.0,0.0,0.0
708820308,47,3,Post-Graduate,Unknown,$80K - $120K,36,6,2,2,13399.0,2505,10894.0,0.627,1326,31,0.824,0.187,1,0,1.0,0.0,0.0,0.0
710558058,46,3,Unknown,Married,Less than $40K,38,4,3,3,4317.0,2517,1800.0,0.944,1619,36,1.0,0.583,0,0,1.0,0.0,0.0,0.0
709278258,54,2,Unknown,Married,$40K - $60K,44,4,3,2,2902.0,2517,385.0,0.821,996,26,0.444,0.867,1,1,1.0,0.0,0.0,0.0
822969858,61,0,Graduate,Married,Unknown,56,4,1,3,5585.0,1465,4120.0,1.503,1787,31,0.722,0.262,0,0,1.0,0.0,0.0,0.0
828281733,43,4,Unknown,Married,$120K +,39,3,3,3,14881.0,848,14033.0,0.762,1408,23,1.091,0.057,1,0,1.0,0.0,0.0,0.0
708666258,43,4,Unknown,Married,$40K - $60K,36,5,3,0,8129.0,1799,6330.0,0.566,1402,33,0.737,0.221,1,0,1.0,0.0,0.0,0.0
809608533,49,4,Post-Graduate,Single,Unknown,44,6,3,2,18206.0,1586,16620.0,0.921,1439,48,1.0,0.087,0,0,1.0,0.0,0.0,0.0
712595433,58,2,Uneducated,Unknown,$120K +,49,6,2,3,9788.0,1794,7994.0,0.778,1805,37,0.762,0.183,1,0,1.0,0.0,0.0,0.0
708288108,43,4,Post-Graduate,Unknown,$80K - $120K,30,2,5,3,5639.0,1547,4092.0,1.087,647,15,0.364,0.274,1,1,1.0,0.0,0.0,0.0
810449883,64,0,Unknown,Married,Less than $40K,56,6,1,0,2215.0,1915,300.0,0.794,1270,27,0.588,0.865,1,0,1.0,0.0,0.0,0.0
818942433,54,4,Unknown,Single,Less than $40K,49,6,1,1,9376.0,1288,8088.0,0.597,1562,33,0.5,0.137,0,0,1.0,0.0,0.0,0.0
821837958,43,3,Graduate,Unknown,$80K - $120K,39,3,3,1,24850.0,1662,23188.0,0.693,1226,25,0.923,0.067,1,0,1.0,0.0,0.0,0.0
788780958,46,1,Uneducated,Unknown,$40K - $60K,27,6,3,3,12781.0,1253,11528.0,0.638,1073,21,0.4,0.098,1,0,1.0,0.0,0.0,0.0
712372158,45,4,Unknown,Married,$120K +,33,6,1,3,34516.0,2086,32430.0,0.986,1859,47,0.958,0.06,1,0,1.0,0.0,0.0,0.0
709311633,41,2,Graduate,Unknown,$60K - $80K,36,6,2,0,27000.0,0,27000.0,0.61,1209,39,0.3,0.0,1,0,0.0,0.0,0.0,1.0
779462433,55,2,Unknown,Married,Less than $40K,37,3,3,1,2453.0,968,1485.0,1.081,2218,50,0.613,0.395,0,0,1.0,0.0,0.0,0.0
717276708,57,2,Unknown,Single,$80K - $120K,36,3,3,2,3127.0,2517,610.0,0.589,1470,30,1.143,0.805,1,0,1.0,0.0,0.0,0.0
753606108,56,3,Unknown,Single,$60K - $80K,49,3,1,3,1438.3,0,1438.3,0.503,1093,22,0.833,0.0,1,0,1.0,0.0,0.0,0.0
712159083,58,4,Unknown,Married,Less than $40K,46,2,3,3,2536.0,0,2536.0,0.917,901,35,0.522,0.0,0,1,1.0,0.0,0.0,0.0
771180033,47,4,Unknown,Single,$40K - $60K,34,6,1,2,3502.0,1851,1651.0,2.023,1814,31,0.722,0.529,0,0,1.0,0.0,0.0,0.0
717916758,67,0,Unknown,Married,Unknown,56,4,3,3,10509.0,2388,8121.0,0.777,1365,34,1.429,0.227,0,0,1.0,0.0,0.0,0.0
718281408,36,2,Unknown,Married,$40K - $60K,25,3,1,2,4789.0,1257,3532.0,1.134,1534,29,0.933,0.262,0,0,1.0,0.0,0.0,0.0
794496033,57,2,Unknown,Single,$80K - $120K,38,6,1,3,23008.0,2280,20728.0,0.674,1302,36,0.636,0.099,1,0,1.0,0.0,0.0,0.0
710519433,48,1,Unknown,Single,$80K - $120K,36,3,1,0,3131.0,2517,614.0,0.602,1439,40,0.481,0.804,1,0,1.0,0.0,0.0,0.0
788386908,48,3,Graduate,Unknown,$80K - $120K,41,3,2,2,34516.0,1531,32985.0,0.862,1156,29,1.071,0.044,1,0,0.0,0.0,1.0,0.0
789129033,44,5,Unknown,Single,$80K - $120K,32,5,3,2,14910.0,877,14033.0,0.772,1150,26,0.625,0.059,1,0,1.0,0.0,0.0,0.0
714513033,39,1,Unknown,Single,$40K - $60K,36,6,1,3,11213.0,0,11213.0,0.563,1257,23,0.643,0.0,0,0,1.0,0.0,0.0,0.0
714717483,39,3,Uneducated,Single,Unknown,29,5,1,2,26181.0,0,26181.0,0.913,1303,35,0.75,0.0,0,0,1.0,0.0,0.0,0.0
803366358,38,1,Unknown,Single,$60K - $80K,29,5,2,1,14596.0,2192,12404.0,0.898,1300,25,1.083,0.15,1,0,1.0,0.0,0.0,0.0
781794708,35,3,Post-Graduate,Unknown,$80K - $120K,29,2,1,3,17030.0,1911,15119.0,0.528,715,25,0.562,0.112,1,1,1.0,0.0,0.0,0.0
710677608,53,2,Post-Graduate,Unknown,$80K - $120K,36,4,2,0,29205.0,1208,27997.0,0.957,1556,43,1.048,0.041,1,0,1.0,0.0,0.0,0.0
717469158,46,2,Unknown,Married,$80K - $120K,30,6,3,0,18578.0,1385,17193.0,0.565,1606,54,0.421,0.075,1,0,1.0,0.0,0.0,0.0
710665533,42,5,Doctorate,Married,Unknown,23,4,2,2,24602.0,1660,22942.0,0.588,1337,44,0.76,0.067,0,0,1.0,0.0,0.0,0.0
721043058,58,4,Unknown,Married,$60K - $80K,44,5,1,3,12010.0,2149,9861.0,0.801,1700,35,1.5,0.179,1,0,1.0,0.0,0.0,0.0
822893133,56,1,Uneducated,Single,Unknown,52,6,1,2,17561.0,0,17561.0,0.94,1608,33,1.2,0.0,0,0,1.0,0.0,0.0,0.0
708095133,43,4,Unknown,Unknown,$120K +,34,5,2,2,33304.0,1833,31471.0,0.428,1448,29,0.381,0.055,1,0,1.0,0.0,0.0,0.0
772735758,44,1,Unknown,Married,Unknown,34,6,2,0,2885.0,1895,990.0,0.387,1366,31,0.632,0.657,1,0,1.0,0.0,0.0,0.0
778239933,45,4,Graduate,Married,Unknown,35,6,3,0,2801.0,2043,758.0,0.583,1241,46,0.643,0.729,0,0,1.0,0.0,0.0,0.0
716223708,45,3,Uneducated,Single,Unknown,36,3,3,3,4028.0,710,3318.0,0.731,791,22,0.833,0.176,0,1,1.0,0.0,0.0,0.0
819352983,49,3,Unknown,Unknown,$120K +,44,5,2,2,21620.0,2008,19612.0,0.691,1300,33,0.5,0.093,1,0,1.0,0.0,0.0,0.0
721232058,49,1,Graduate,Unknown,$40K - $60K,41,6,1,3,20231.0,977,19254.0,0.893,1215,36,0.714,0.048,1,0,0.0,0.0,0.0,1.0
719443683,50,1,Unknown,Single,$120K +,39,3,2,3,27512.0,2137,25375.0,1.048,1149,25,0.562,0.078,1,1,1.0,0.0,0.0,0.0
715449333,55,3,Unknown,Married,$40K - $60K,47,5,2,0,1929.0,1540,389.0,1.142,2354,50,0.786,0.798,0,0,1.0,0.0,0.0,0.0
780253533,63,0,Unknown,Married,Less than $40K,49,5,3,0,3558.0,2318,1240.0,1.265,1631,31,0.824,0.651,0,0,1.0,0.0,0.0,0.0
796532958,59,0,Unknown,Married,Less than $40K,53,4,3,2,5512.0,1124,4388.0,1.391,1975,49,1.579,0.204,0,0,1.0,0.0,0.0,0.0
709345008,53,2,Doctorate,Married,Unknown,39,1,2,3,1438.3,0,1438.3,0.644,807,22,0.692,0.0,0,1,1.0,0.0,0.0,0.0
717049533,39,3,Doctorate,Unknown,$40K - $60K,28,5,3,0,7262.0,1466,5796.0,0.512,1438,28,0.556,0.202,0,0,1.0,0.0,0.0,0.0
711622683,48,4,Unknown,Single,$60K - $80K,30,4,3,3,7712.0,1387,6325.0,0.861,1597,39,0.56,0.18,1,0,1.0,0.0,0.0,0.0
721057758,61,1,Unknown,Married,Unknown,47,4,2,3,1438.3,0,1438.3,1.337,1449,27,1.455,0.0,0,0,1.0,0.0,0.0,0.0
716445783,42,2,Uneducated,Married,Unknown,31,4,2,0,22718.0,0,22718.0,0.791,1191,37,1.176,0.0,0,0,1.0,0.0,0.0,0.0
708579633,40,4,Unknown,Single,$40K - $60K,28,4,2,2,23981.0,1788,22193.0,0.631,1421,34,0.308,0.075,1,0,0.0,1.0,0.0,0.0
718715583,65,2,Unknown,Married,Less than $40K,56,4,2,4,2318.0,1010,1308.0,0.81,1256,35,0.591,0.436,1,0,1.0,0.0,0.0,0.0
805254708,36,4,Unknown,Married,Unknown,31,5,2,0,15700.0,1276,14424.0,1.389,2229,48,0.778,0.081,0,0,1.0,0.0,0.0,0.0
720179883,40,4,Graduate,Unknown,$80K - $120K,25,3,3,1,1962.0,0,1962.0,0.684,1179,27,0.688,0.0,1,0,1.0,0.0,0.0,0.0
711242058,48,4,Unknown,Single,$80K - $120K,36,1,3,1,11862.0,2517,9345.0,0.766,643,16,0.231,0.212,1,1,1.0,0.0,0.0,0.0
708864708,46,3,Graduate,Unknown,$80K - $120K,36,4,2,2,24869.0,1729,23140.0,0.408,1409,36,0.5,0.07,1,0,1.0,0.0,0.0,0.0
717758583,40,3,High School,Unknown,$60K - $80K,36,4,2,1,3624.0,1975,1649.0,0.708,1469,23,1.091,0.545,1,0,1.0,0.0,0.0,0.0
715416633,54,1,Unknown,Married,$80K - $120K,36,4,1,2,6175.0,960,5215.0,0.709,1847,59,0.405,0.155,1,0,1.0,0.0,0.0,0.0
718731183,61,1,Unknown,Married,$40K - $60K,49,1,2,2,5472.0,788,4684.0,0.526,705,14,0.273,0.144,1,1,1.0,0.0,0.0,0.0
711173058,56,2,Unknown,Married,Unknown,45,4,3,0,5406.0,1782,3624.0,0.976,1407,29,0.812,0.33,0,0,1.0,0.0,0.0,0.0
779743908,44,4,Unknown,Single,$60K - $80K,29,4,2,2,7788.0,0,7788.0,0.296,1196,30,0.429,0.0,1,0,1.0,0.0,0.0,0.0
718675158,55,1,Unknown,Married,Less than $40K,36,4,1,3,1438.3,361,1077.3,0.963,850,22,0.692,0.251,0,1,1.0,0.0,0.0,0.0
710784333,57,2,Unknown,Married,$120K +,36,3,2,2,23700.0,1314,22386.0,1.487,1644,28,0.647,0.055,1,0,1.0,0.0,0.0,0.0
758317233,35,1,Graduate,Single,Unknown,28,4,5,2,3518.0,1575,1943.0,0.625,2121,60,0.579,0.448,0,0,1.0,0.0,0.0,0.0
716452083,56,4,Unknown,Married,Less than $40K,46,5,3,2,4271.0,1150,3121.0,1.064,2052,50,0.724,0.269,0,0,1.0,0.0,0.0,0.0
714500883,44,3,Graduate,Married,Unknown,36,4,2,3,21242.0,819,20423.0,0.499,1283,37,0.542,0.039,0,0,1.0,0.0,0.0,0.0
710317758,38,3,High School,Married,Unknown,29,4,2,2,11327.0,1528,9799.0,1.142,2033,38,0.727,0.135,0,0,1.0,0.0,0.0,0.0
718943508,42,3,Unknown,Single,$80K - $120K,33,3,3,2,3714.0,2170,1544.0,0.524,1454,35,0.522,0.584,1,0,1.0,0.0,0.0,0.0
788785083,44,3,Graduate,Unknown,Less than $40K,25,6,3,2,3083.0,1040,2043.0,0.729,4311,78,0.56,0.337,0,0,1.0,0.0,0.0,0.0
780481308,37,3,Graduate,Married,Unknown,24,3,2,2,10584.0,1550,9034.0,0.692,1567,33,0.32,0.146,0,0,1.0,0.0,0.0,0.0
711757383,50,3,Unknown,Married,Less than $40K,42,4,1,2,2240.0,0,2240.0,0.668,1905,39,0.345,0.0,0,0,1.0,0.0,0.0,0.0
780913308,43,3,Unknown,Single,$60K - $80K,34,6,2,0,13771.0,2517,11254.0,0.501,1510,42,0.75,0.183,1,0,1.0,0.0,0.0,0.0
719428308,50,2,High School,Unknown,$60K - $80K,41,6,2,2,3244.0,1762,1482.0,0.661,1274,32,1.0,0.543,1,0,1.0,0.0,0.0,0.0
787621158,33,2,Unknown,Married,$60K - $80K,25,6,3,3,6242.0,491,5751.0,1.054,2187,59,0.405,0.079,1,0,1.0,0.0,0.0,0.0
779519058,51,3,Post-Graduate,Single,Unknown,34,3,1,2,34516.0,1578,32938.0,0.725,1929,40,0.481,0.046,0,0,0.0,0.0,1.0,0.0
720071583,48,2,Unknown,Married,Less than $40K,36,5,1,3,7151.0,800,6351.0,0.986,854,22,0.375,0.112,0,1,1.0,0.0,0.0,0.0
712370208,48,1,Uneducated,Unknown,$60K - $80K,35,3,2,2,17131.0,1213,15918.0,0.604,1371,37,0.423,0.071,1,0,1.0,0.0,0.0,0.0
783910008,37,0,Unknown,Married,Less than $40K,31,5,2,2,2684.0,1381,1303.0,0.794,2002,60,0.429,0.515,0,0,1.0,0.0,0.0,0.0
823528833,50,1,Unknown,Single,Less than $40K,46,4,2,3,2081.0,1235,846.0,1.485,1337,29,1.071,0.593,0,0,1.0,0.0,0.0,0.0
787833333,44,3,Graduate,Unknown,$80K - $120K,35,6,1,2,6361.0,1292,5069.0,1.027,1571,38,0.52,0.203,1,0,1.0,0.0,0.0,0.0
779558733,50,4,Unknown,Married,Unknown,36,6,1,2,32156.0,1791,30365.0,0.906,1559,39,1.167,0.056,0,0,0.0,0.0,0.0,1.0
714927333,62,0,Graduate,Married,Unknown,52,6,3,2,9050.0,1538,7512.0,0.77,1542,43,0.654,0.17,0,0,1.0,0.0,0.0,0.0
798007308,57,3,High School,Married,Unknown,51,6,1,0,8362.0,0,8362.0,0.528,1175,41,0.464,0.0,0,0,1.0,0.0,0.0,0.0
720310458,46,1,Unknown,Single,$120K +,32,5,2,1,11840.0,1295,10545.0,0.84,1560,49,0.4,0.109,1,0,1.0,0.0,0.0,0.0
780054258,40,5,Graduate,Unknown,$40K - $60K,25,6,2,3,7860.0,541,7319.0,0.764,1367,35,0.75,0.069,1,0,1.0,0.0,0.0,0.0
